,ID,Year,Zip Code,City,Returns,CA AGI,Avg Income
8866,8253,2014,92256,Morongo Valley,"1,355","52,660,629",38863.93
9796,8783,2014,91202,Glendale,"10,491","776,743,641",74039.05
8796,8283,2014,91017,Monrovia,583,"41,594,384",71345.43
8867,9218,2014,91309,Canoga Park,249,"14,264,866",57288.62
9816,8209,2014,92660,Newport Beach,"17,709","3,417,561,827",192984.46
8868,8865,2014,93792,Fresno,26,"2,235,856",85994.46
9797,8552,2014,90713,Lakewood,"13,617","915,013,113",67196.38
8795,9270,2014,90622,Buena Park,259,"12,980,997",50119.68
8870,9198,2014,92010,Carlsbad,"7,165","615,931,464",85963.92
8871,8949,2014,92025,Escondido,"19,921","1,058,095,161",53114.56
8893,8453,2014,90081,Los Angeles,251,"37,790,782",150560.88
8794,8604,2014,91012,La Canada Flintridge,383,"46,851,923",122328.78
8865,8685,2014,92648,Huntington Beach,"23,439","2,403,422,093",102539.45
8475,8400,2014,90012,Los Angeles,"10,384","499,069,351",48061.38
8872,9208,2014,95607,Capay,115,"8,021,407",69751.37
8863,8517,2014,94550,Livermore,"22,545","2,439,129,189",108189.36
8858,8961,2014,95626,Elverta,"2,509","126,114,178",50264.72
8860,8532,2014,95585,Leggett,139,"3,004,499",21615.1
8862,8371,2014,96058,Macdoel,241,"10,547,727",43766.5
8474,9182,2014,96016,Cassel,136,"7,524,842",55329.72
9765,9477,2014,95220,Acampo,"2,842","191,224,658",67285.24
8895,9274,2014,95919,Brownsville,429,"17,066,842",39782.85
8802,8240,2014,94042,Mountain View,505,"52,075,233",103119.27
8798,8925,2014,92333,Fawnskin,225,"12,281,112",54582.72
8460,9319,2014,96011,Big Bend,47,"1,511,912",32168.34
9794,8206,2014,92663,Newport Beach,"11,418","1,413,709,235",123814.09
8800,8547,2014,93586,Lancaster,95,"3,748,539",39458.31
8894,8411,2014,90040,Los Angeles,"5,435","230,851,539",42474.98
9795,8265,2014,94575,Moraga,38,"1,971,088",51870.74
8864,9462,2014,91802,Alhambra,794,"40,776,957",51356.37
9763,9427,2014,95412,Annapolis,104,"3,699,968",35576.62
9798,8322,2014,95341,Merecd,"10,113","306,776,377",30334.85
8873,9314,2014,95917,Biggs,"1,169","59,873,652",51217.84
9813,8719,2014,92342,Helendale,"2,534","138,207,953",54541.42
