,ID,Year,Zip Code,City,Returns,CA AGI,Avg Income
11247,11242,2013,93705,Fresno,"11,957","368,026,255",30779.15
11246,11090,2013,95448,Healdsburg,"8,777","630,595,829",71846.4
11260,10507,2013,95465,Occidental,"1,028","62,073,015",60382.31
11137,10512,2013,94611,Oakland,"20,147","3,126,746,039",155196.61
11140,10465,2013,93035,Oxnard,"12,672","776,428,658",61271.2
11243,9989,2013,95121,San Jose,"17,457","1,001,335,574",57360.12
11245,11222,2013,93777,Fresno,49,"3,556,023",72571.9
11244,10463,2013,93036,Oxnard,"18,009","845,756,759",46963.01
11141,11373,2013,91008,Duarte,527,"67,776,879",128608.88
11158,10164,2013,93450,San Ardo,244,"44,939,450",184178.07
11142,11094,2013,94540,Hayward,426,"23,103,147",54232.74
11134,11203,2013,93723,Fresno,"3,695","224,438,205",60741.06
11133,11352,2013,92243,El Centro,"16,758","727,446,843",43408.93
11259,10160,2013,92427,San Bernardino,392,"19,010,138",48495.25
11254,10231,2013,91770,Rosemead,"27,607","1,185,223,398",42931.99
11139,10280,2013,93654,Reedley,"11,458","428,770,621",37421.07
11157,10717,2013,93933,Marina,"9,666","442,454,288",45774.29
11257,10828,2013,90094,Los Angeles,"2,862","369,929,098",129255.45
11148,9952,2013,93451,San Miguel,"1,699","77,200,201",45438.61
11149,10321,2013,95972,Rackerby,75,"2,448,948",32652.64
11252,10978,2013,95645,Knights Landing,632,"25,848,487",40899.5
11250,9972,2013,94578,San Leandro,"17,692","792,913,476",44817.63
11258,10375,2013,93649,Piedra,65,"3,493,999",53753.83
11255,9806,2013,95370,Sonora,"10,916","544,310,092",49863.51
11249,10581,2013,95658,Newcastle,"3,077","244,988,290",79619.2
11138,10824,2013,90077,Los Angeles,"4,357","1,538,642,883",353142.73
11147,10379,2013,90662,Pico Rivera,86,"2,695,865",31347.27
11150,10734,2013,93637,Madera,"14,338","591,538,020",41256.66
11151,11257,2013,95540,Fortuna,"5,111","242,714,569",47488.67
11152,10585,2013,94560,Newark,"20,586","1,296,048,969",62957.79
11153,10470,2013,95556,Orleans,147,"4,165,967",28339.91
11136,10866,2013,90802,Long Beach,"18,720","864,841,100",46198.78
11154,10453,2013,91333,Pacoima,320,"10,239,645",31998.89
11135,10263,2013,95562,Rio Dell,993,"34,672,855",34917.28
11146,10998,2013,96048,Junction City,248,"11,167,108",45028.66
11145,10993,2013,95451,Kelseyville,"4,056","179,392,134",44228.83
11253,10976,2013,95550,Korbel,60,"1,482,144",24702.4
11155,10338,2013,93041,Port Hueneme,"8,671","355,142,611",40957.51
11248,9967,2013,93406,San Luis Obispo,"1,069","492,834,357",461023.72
11144,10956,2013,90639,La Mirada,48,"775,580",16157.92
11143,10216,2013,95818,Sacramento,"9,928","797,924,634",80371.14
11156,11210,2013,93745,Fresno,268,"7,106,603",26517.18
11251,10121,2013,92122,San Diego,"19,506","1,586,389,732",81328.3
11217,11669,2013,94922,Bodega,207,"11,274,219",54464.83
11159,10045,2013,94120,San Francisco,68,"11,013,165",161958.31
11223,11356,2013,92021,El Cajon,"26,741","1,179,748,827",44117.6
11225,10117,2013,92195,San Diego,384,"16,129,176",42003.06
11200,10480,2013,92856,Orange,314,"15,051,434",47934.5
11226,10744,2013,96118,Loyalton,524,"22,939,572",43777.81
11199,10645,2013,95462,Monte Rio,493,"22,447,826",45533.12
11227,11042,2013,91933,ImperialBeach,397,"15,509,519",39066.8
11228,10529,2013,93644,Oakhurst,"3,694","180,561,784",48879.75
11229,11158,2013,91202,Glendale,"10,426","694,845,970",66645.5
11198,10370,2013,95364,Pinecrest,91,"6,170,808",67811.08
11230,11057,2013,93628,Hume,104,"3,782,049",36365.86
11197,10793,2013,90053,Los Angeles,141,"14,047,996",99631.18
11196,10347,2013,93042,Point Mugu Nawc,29,"734,122",25314.55
11231,11321,2013,91426,Encino,261,"27,767,980",106390.73
11195,10502,2013,92051,Oceanside,603,"21,682,730",35958.09
11194,10315,2013,95742,Rancho Cordova,"4,578","350,692,501",76603.87
11232,10199,2013,95828,Sacramento,"21,898","800,774,830",36568.4
11193,9838,2013,93664,Shaver Lake,328,"26,250,666",80032.52
11233,11020,2013,92604,Irvine,"12,479","936,473,481",75043.95
11224,11395,2013,94528,Diablo,534,"268,350,401",502528.84
11222,9885,2013,93457,Santa Maria,341,"35,396,673",103802.56
11234,11274,2013,92336,Fontana,"36,743","1,900,513,158",51724.5
11201,11306,2013,95503,Eureka,"8,810","458,647,443",52059.87
11215,9940,2013,94582,San Ramon,"16,230","2,511,466,200",154742.22
11214,11015,2013,92606,Irvine,"9,173","791,130,782",86245.59
11218,10497,2013,92259,Ocotillo,97,"3,694,093",38083.43
11213,10946,2013,92253,La Quinta,"14,944","997,767,669",66767.11
11212,11401,2013,95315,Delhi,"4,347","144,683,101",33283.44
11220,10204,2013,95822,Sacramento,"17,785","828,962,377",46610.2
11211,10072,2013,94140,San Francisco,360,"15,085,796",41904.99
11210,10495,2013,93023,Ojai,"9,036","648,283,002",71744.47
11209,10662,2013,95354,Modesto,"8,584","398,745,784",46452.21
11208,10860,2013,90810,Long Beach,"15,404","570,785,259",37054.35
11207,9808,2013,93066,Somis,"1,627","136,678,465",84006.43
11221,10761,2013,90044,Los Angeles,"33,204","849,704,662",25590.43
11206,10085,2013,92154,San Diego,"35,891","1,449,172,249",40377.04
11205,10815,2013,90019,Los Angeles,"28,183","1,166,195,002",41379.38
11204,10430,2013,92266,Palo Verde,62,"1,924,222",31035.84
11203,11388,2013,95935,Dobbins,246,"8,489,311",34509.39
11202,9853,2013,95067,Scotts Valley,530,"39,778,640",75054.04
11192,10566,2013,93444,Nipomo,"9,096","547,398,484",60180.13
11191,11337,2013,95433,El Verano,536,"22,477,404",41935.46
11160,11067,2013,92250,Holtville,"3,010","144,336,881",47952.45
11240,10843,2013,94023,Los Altos,467,"300,785,414",644080.12
11175,9913,2013,93190,Santa Barbara,405,"20,964,723",51764.75
11174,10132,2013,92138,San Diego,"1,293","65,010,897",50279.12
11173,11130,2013,94904,Greenbrae,"6,065","1,384,362,722",228254.36
11172,10729,2013,90263,Malibu,81,"2,820,918",34826.15
11171,10306,2013,92067,Rancho Santa Fe,"5,666","1,846,267,270",325850.21
11170,10407,2013,91104,Pasadena,"15,929","1,003,937,072",63025.74
11169,10539,2013,94945,Novato,"8,530","768,755,503",90123.74
11168,10871,2013,93436,Lompoc,"19,869","934,848,842",47050.62
11167,11299,2013,94534,Fairfield,"17,000","1,429,623,865",84095.52
11166,10602,2013,91759,Mt Baldy,214,"14,184,697",66283.63
