,ID,Year,Zip Code,City,Returns,CA AGI,Avg Income
15882,15290,2011,91605,North Hollywood,"22,351","615,940,822",27557.64
16891,16575,2011,95410,Albion,381,"17,217,731",45190.9
15877,15470,2011,93636,Madera,"4,781","265,243,929",55478.76
15903,14750,2011,95125,San Jose,"24,073","2,619,821,178",108828.2
15867,14867,2011,92134,San Diego,37,"686,621",18557.32
15893,14762,2011,92582,San Jacinto,"5,266","210,804,887",40031.31
15897,14799,2011,94104,San Francisco,"1,240","433,022,359",349211.58
15879,16130,2011,93618,Dinuba,"9,964","295,744,941",29681.35
15880,15153,2011,91104,Pasadena,"15,743","946,755,287",60138.17
15866,14930,2011,95837,Sacramento,138,"12,401,420",89865.36
15895,14982,2011,92517,Riverside,790,"33,628,995",42568.35
15894,15268,2011,93022,Oak View,"2,756","162,957,621",59128.31
16883,16562,2011,95221,Altaville,699,"26,666,563",38149.59
15911,15984,2011,95231,French Camp,"1,488","50,436,836",33895.72
16885,16343,2011,93010,Camarillo,"19,301","1,366,447,873",70796.74
16131,16197,2011,92877,Corona,523,"29,037,031",55520.14
15874,15834,2011,94544,Hayward,"31,351","1,327,689,614",42349.2
15881,15739,2011,93928,Jolon,132,"7,739,023",58628.96
15898,15458,2011,96059,Manton,204,"8,007,000",39250.0
16130,15235,2011,92054,Oceanside,"16,650","713,493,923",42852.49
15878,15046,2011,91739,Rancho Cucamonga,"14,314","1,074,708,044",75080.9
15909,14899,2011,92410,San Bernardino,"14,886","354,434,261",23809.91
15868,16230,2011,93611,Clovis,"18,344","1,143,144,781",62317.09
15887,15026,2011,90277,Redondo Beach,"19,400","1,844,907,851",95098.34
16904,16415,2011,92317,Blue Jay,"1,658","98,418,376",59359.7
16919,16547,2011,92814,Anaheim,345,"10,638,983",30837.63
16134,15018,2011,95044,Redwood Estatesates,139,"10,389,327",74743.36
15886,15517,2011,90082,Los Angeles,97,"2,890,820",29802.27
15870,16035,2011,92088,Fallbrook,"1,040","43,198,794",41537.3
16133,15467,2011,90265,Malibu,"7,739","1,587,116,166",205080.26
15901,15385,2011,96064,Montague,"1,566","54,432,608",34759.01
15888,16216,2011,90224,Compton,468,"17,089,839",36516.75
16925,16356,2011,92231,Calexico,"19,988","517,929,700",25912.03
15871,16098,2011,93220,Edison,136,"9,287,286",68288.87
16911,16398,2011,95416,Boyes Hot Springs,"1,401","46,884,384",33464.94
15890,15211,2011,95662,Orangevale,"14,155","814,525,804",57543.33
16912,16525,2011,91066,Arcadia,419,"24,274,292",57933.87
15902,15280,2011,90652,Norwalk,139,"4,166,492",29974.76
15905,15507,2011,90033,Los Angeles,"15,721","408,257,425",25968.92
16132,15610,2011,93436,Lompoc,"19,146","894,372,647",46713.29
15885,15004,2011,94807,Richmond,196,"10,481,852",53478.84
15891,15194,2011,93950,Pacific Grove,"7,383","460,548,417",62379.58
15883,15417,2011,96061,Mill Creek,10,"392,873",39287.3
15907,15179,2011,92263,Palm Springs,"1,786","74,268,903",41583.93
15910,14910,2011,93901,Salinas,"11,280","566,795,769",50247.85
