,ID,Year,Zip Code,City,Returns,CA AGI,Avg Income
18440,18065,2010,92253,La Quinta,"14,309","897,593,668",62729.31
18464,18139,2010,92614,Irvine,"11,317","26,039,251",2300.9
18463,18007,2010,93247,Lindsay,"5,506","1,580,768",287.1
18465,18022,2010,95454,Laytonville,941,"25,612,662",27218.56
18444,18690,2010,92010,Carlsbad,"6,327","955,025,524",150944.45
18462,18735,2010,92231,Calexico,"19,981","494,781,259",24762.59
18439,18393,2010,92331,Fontana,174,"7,390,097",42471.82
18460,18386,2010,94933,Forest Knolls,442,"24,652,647",55775.22
18450,18941,2010,95601,Amador City,151,"5,965,609",39507.34
18437,18376,2010,95540,Fortuna,"5,115","231,665,824",45291.46
18438,18825,2010,94704,Berkeley,"5,098","218,262,074",42813.27
18434,18117,2010,92252,Joshua Tree,"2,938","102,487,578",34883.45
18459,18154,2010,92203,Indio,"9,353","507,080,604",54215.82
18445,18080,2010,92093,La Jolla,88,"1,141,455,275",12971082.67
18447,18492,2010,91008,Duarte,511,"11,525,793",22555.37
18458,18547,2010,90232,Culver City,"8,114","1,028,950,709",126811.77
18457,18112,2010,93530,Keeler,20,"11,530,374",576518.7
18455,18524,2010,92014,Del Mar,"7,521","45,120,712",5999.3
18443,18657,2010,92322,Cedarpines Park,199,"9,357,099",47020.6
18449,18344,2010,93773,Fresno,48,"1,328,799",27683.31
18453,18277,2010,91202,Glendale,"10,093","294,149,772",29143.94
18452,18222,2010,90710,Harbor City,"10,904","26,123,468",2395.77
18291,18241,2010,95948,Gridley,"4,000","160,826,401",40206.6
18506,18354,2010,93710,Fresno,"10,581","1,326,092",125.33
18466,18415,2010,92028,Fallbrook,"18,410","650,757,237",35348.03
18492,18181,2010,95545,Honeydew,46,"1,533,340",33333.48
18495,18535,2010,92629,Dana Point,"13,787","1,164,586,457",84469.9
18496,18778,2010,93064,Brandeis,29,"1,563,018,131",53897176.93
18497,18593,2010,90220,Compton,"18,254","587,246,115",32170.82
18498,18635,2010,91915,Chula Vista,"9,311","629,858,690",67646.73
18499,18122,2010,91935,Jamul,"3,947","303,914,100",76998.76
18501,18194,2010,92344,Hesperia,"6,967","356,688,585",51196.87
18502,18857,2010,93303,Bakersfield,236,"16,710,199",70805.93
18503,18767,2010,95007,Brookdale,342,"18,523,224",54161.47
18504,18013,2010,93245,Lemoore,"11,320","11,164,488",986.26
18508,18033,2010,93584,Lancaster,217,"42,846,222",197448.03
18510,18675,2010,90747,Carson,14,"608,325,460",43451818.57
18512,18297,2010,92842,Garden Grove,907,"833,211,588",918645.63
18514,17990,2010,94021,Loma Mar,106,"710,777,446",6705447.6
18516,18034,2010,93536,Lancaster,"24,417","816,529,701",33441.03
18517,18561,2010,95615,Courtland,406,"17,880,452",44040.52
18494,17962,2010,94022,Los Altos,"9,344","67,603,999",7235.02
18490,18588,2010,94520,Concord,"14,943","438,763,587",29362.48
18468,18838,2010,90706,Bellflower,"29,429","67,539,080",2294.98
18489,18298,2010,92843,Garden Grove,"17,642","518,485,003",29389.24
18470,18921,2010,92305,Angelus Oaks,272,"12,675,069",46599.52
18471,18249,2010,95444,Graton,661,"30,268,859",45792.52
18472,18475,2010,92021,El Cajon,"25,199","28,990,827",1150.48
18473,18707,2010,91309,Canoga Park,307,"5,705,646",18585.17
18474,17985,2010,93545,Lone Pine,816,"19,055,256",23352.03
18476,18254,2010,91344,Granada Hills,"23,045","314,756,775",13658.35
18477,18867,2010,93301,Bakersfield,"4,102","623,897,252",152095.87
18480,18952,2010,92656,Aliso Viejo,"22,374","442,226,506",19765.2
18481,18722,2010,93012,Camarillo,"15,280","1,359,668,456",88983.54
18482,18806,2010,93920,Big Sur,670,"138,527,943",206758.12
18483,18381,2010,96112,Fort Bidwell,73,"35,835",490.89
18484,18503,2010,96024,Douglas City,329,"11,678,045",35495.58
18485,18882,2010,95224,Avery,286,"8,640,339",30210.98
18486,18667,2010,94552,Castro Valley,"6,611","667,860,976",101022.69
18487,18048,2010,92532,LakeElsinore,"6,282","56,731,392",9030.79
18433,17930,2010,90043,Los Angeles,"18,714","750,993,226",40130.02
18367,18818,2010,90213,Beverly Hills,665,"60,573,343",91087.73
18431,18162,2010,96047,Igo,348,"15,574,923",44755.53
18343,18158,2010,93526,Independence,295,"653,777",2216.19
18322,18189,2010,95324,Hilmar,"2,883","134,888,609",46787.59
18327,18202,2010,92545,Hemet,"13,733","16,869,249",1228.37
18329,18221,2010,93435,Harmony,18,"78,579,872",4365548.44
18330,18466,2010,94018,El Granada,"1,902","4,103,141",2157.28
18333,18337,2010,93777,Fresno,39,"4,031,512",103372.1
18334,17938,2010,90054,Los Angeles,128,"3,433,810",26826.64
18340,17926,2010,90062,Los Angeles,"12,211","324,374,179",26564.1
18342,18552,2010,92325,Crestline,"4,267","186,842,211",43787.72
18344,18290,2010,95543,Gasquet,283,"15,688,601",55436.75
18359,18011,2010,96116,Likely,81,"2,337,594",28859.19
18346,17953,2010,90015,Los Angeles,"6,687","302,686,313",45264.89
18347,18956,2010,95511,Alderpoint,88,"2,018,009",22931.92
18349,18625,2010,95611,Citrus Heights,697,"26,476,739",37986.71
18351,18471,2010,92244,El Centro,"1,124","55,473,775",49353.89
