,ID,Year,Zip Code,City,Returns,CA AGI,Avg Income
13591,13193,2012,90067,Los Angeles,"3,419","2,144,159,991",627130.74
13606,13652,2012,95435,Finley,248,"6,864,131",27677.95
13594,13785,2012,92629,Dana Point,"14,179","1,371,175,775",96704.69
13604,13405,2012,90306,Inglewood,79,"3,068,399",38840.49
13602,14138,2012,93423,Atascadero,"1,404","74,258,931",52890.98
13598,13620,2012,94538,Fremont,"28,039","1,877,623,606",66964.71
13600,13472,2012,96040,Hat Creek,97,"4,270,190",44022.58
13673,13145,2012,90062,Los Angeles,"12,688","347,492,428",27387.49
13671,14017,2012,94513,Brentwood,"23,302","1,645,719,753",70625.69
13601,14069,2012,94701,Berkeley,179,"9,763,115",54542.54
13596,13208,2012,90045,Los Angeles,"17,949","1,563,371,972",87100.78
13669,13440,2012,92347,Hinkley,360,"10,337,390",28714.97
13664,13118,2012,93402,Los Osos,"6,363","358,835,937",56394.14
13603,13350,2012,95548,Klamath,292,"6,550,961",22434.8
13668,14027,2012,95006,Boulder Creek,"4,096","318,854,689",77845.38
13595,13818,2012,94976,Corte Madera,247,"12,621,738",51100.15
13667,13689,2012,91426,Encino,286,"25,472,664",89065.26
13674,13272,2012,95333,Le Grand,"1,007","47,614,897",47283.91
13666,13162,2012,90059,Los Angeles,"13,787","356,277,503",25841.55
13662,13425,2012,92615,Huntington Beach,530,"27,764,354",52385.57
13653,13985,2012,91302,Calabasas,"12,325","2,701,329,054",219174.77
13608,13240,2012,93436,Lompoc,"19,265","896,759,203",46548.62
13641,13716,2012,94018,El Granada,"1,904","201,663,328",105915.61
13649,13763,2012,91765,Diamond Bar,"21,682","1,561,554,659",72020.78
13648,13721,2012,92243,El Centro,"16,320","710,392,855",43528.97
13627,13382,2012,92602,Irvine,"9,552","932,507,234",97624.29
13647,13906,2012,95924,Cedar Ridge,689,"31,197,230",45279.0
13628,13995,2012,94011,Burlingame,592,"179,175,592",302661.47
13646,13663,2012,93223,Farmersville,"3,239","83,035,235",25636.07
13629,14212,2012,92301,Adelanto,"9,181","281,042,561",30611.32
13645,13090,2012,96059,Manton,198,"6,419,017",32419.28
13643,13309,2012,92654,Laguna Hills,529,"28,822,281",54484.46
13631,14080,2012,95005,Ben Lomond,"2,818","196,037,212",69566.08
13609,13675,2012,95502,Eureka,"1,482","69,561,816",46937.8
13640,13426,2012,93628,Hume,99,"3,462,925",34979.04
13632,13850,2012,95713,Colfax,"3,238","182,445,790",56345.21
13633,13934,2012,93923,Carmel,"5,051","661,135,723",130892.05
13639,14198,2012,91801,Alhambra,"23,949","1,040,414,500",43442.92
13634,13509,2012,95944,Goodyears Bar,23,"869,263",37794.04
13635,13631,2012,96112,Fort Bidwell,69,"-947,005",-13724.71
13638,13176,2012,90048,Los Angeles,"13,227","1,603,811,215",121252.83
13636,14010,2012,95919,Brownsville,431,"16,244,809",37690.97
13637,13795,2012,95015,Cupertino,647,"78,970,742",122056.79
13625,13113,2012,96118,Loyalton,522,"23,580,000",45172.41
13650,13250,2012,95237,Lockeford,"1,651","78,585,953",47599.0
13652,13322,2012,90623,La Palma,"7,253","474,369,238",65403.18
13624,13835,2012,94521,Concord,"19,428","1,356,567,730",69825.39
13610,13282,2012,93534,Lancaster,"13,254","481,916,386",36360.07
13611,13514,2012,95717,Gold Run,110,"5,643,630",51305.73
13612,14165,2012,94508,Angwin,"1,252","158,692,333",126751.06
13660,13803,2012,95312,Cressey,174,"6,034,296",34679.86
13658,13161,2012,90026,Los Angeles,"29,898","1,226,783,092",41032.28
13613,13863,2012,95227,Clements,436,"28,542,456",65464.35
13614,13135,2012,90022,Los Angeles,"24,859","709,299,374",28532.9
13615,13267,2012,91945,Lemon Grove,"10,690","443,234,499",41462.53
13657,14148,2012,95521,Arcata,"6,228","262,798,857",42196.35
13616,13150,2012,90063,Los Angeles,"19,237","532,727,815",27692.87
13617,13543,2012,90249,Gardena,"12,336","519,767,625",42134.21
13656,13482,2012,95637,Guinda,151,"7,352,765",48693.81
13655,14101,2012,93306,Bakersfield,"24,058","1,209,234,894",50263.32
13618,14180,2012,92808,Anaheim,"9,241","897,977,514",97173.2
13619,13966,2012,95419,Camp Meeker,96,"4,184,495",43588.49
13654,13895,2012,95928,Chico,"12,723","768,772,513",60423.84
13621,14049,2012,93606,Biola,714,"18,288,432",25614.05
13622,13377,2012,95642,Jackson,"3,163","165,644,808",52369.53
13623,13603,2012,93702,Fresno,"13,234","302,067,489",22825.11
13676,13457,2012,92342,Helendale,"2,442","128,735,552",52717.26
13177,13570,2012,93774,Fresno,51,"1,761,903",34547.12
13679,14175,2012,92817,Anaheim,396,"23,462,953",59249.88
13823,14188,2012,96101,Alturas,"1,857","81,869,117",44086.76
13801,13281,2012,93535,Lancaster,"23,737","829,736,614",34955.41
13803,13226,2012,90815,Long Beach,"18,399","1,423,011,786",77341.8
13804,13390,2012,92620,Irvine,"19,177","1,921,580,597",100202.36
13806,13094,2012,90266,Manhattan Beach,"17,520","4,635,693,772",264594.39
13807,13654,2012,93016,Fillmore,631,"19,664,892",31164.65
13808,13908,2012,95421,Cazadero,579,"33,184,895",57314.15
13809,13881,2012,91910,Chula Vista,"32,900","1,579,813,215",48018.64
13811,13464,2012,94544,Hayward,"31,855","1,384,451,176",43461.03
13812,13126,2012,90014,Los Angeles,"3,462","201,172,107",58108.64
13813,13358,2012,93238,Kernville,653,"28,411,568",43509.29
13814,14207,2012,93601,Ahwahnee,764,"40,469,703",52970.82
13816,13694,2012,95715,Emigrant Gap,44,"1,835,587",41717.89
13819,13612,2012,93717,Fresno,32,"1,605,596",50174.88
13820,13551,2012,92843,Garden Grove,"18,719","610,497,263",32613.78
13821,13859,2012,93611,Clovis,"18,407","511,441,336",27785.15
13800,14061,2012,90213,Beverly Hills,611,"110,201,316",180362.22
13799,13513,2012,93116,Goleta,474,"19,715,128",41593.1
13798,13595,2012,93776,Fresno,44,"8,508,935",193384.89
13786,13194,2012,90001,Los Angeles,"19,217","466,244,054",24262.06
13778,13659,2012,93224,Fellows,162,"8,856,022",54666.8
13779,13458,2012,92249,Heber,"2,703","96,206,766",35592.59
13780,13304,2012,92352,LakeArrowhead,"2,043","138,688,511",67884.73
13781,13817,2012,92628,Costa Mesa,687,"32,350,064",47088.89
13782,13050,2012,96061,Mill Creek,13,"823,190",63322.31
13785,13166,2012,90009,Los Angeles,"1,093","56,790,485",51958.36
