,ID,Year,Zip Code,City,Returns,CA AGI,Avg Income
4070,4715,2016,92656,Aliso Viejo,"24,832","2,451,239,897",98712.95
5025,4694,2016,92806,Anaheim,"18,445","921,871,569",49979.48
3715,4699,2016,94503,American Canyon,"9,805","656,246,073",66929.74
3745,3515,2016,93020,Moorpark,313,"16,299,878",52076.29
5046,3453,2016,91320,Newbury Park,"21,368","2,258,536,275",105697.13
5044,3337,2016,93950,Pacific Grove,"7,488","591,945,519",79052.55
5031,3262,2016,92371,Phelan,"3,681","164,353,592",44649.17
4032,3687,2016,90072,Los Angeles,42,"1,363,243",32458.17
5026,3468,2016,95960,North San Juan,474,"16,568,083",34953.76
5043,3616,2016,93636,Madera,"5,018","360,746,884",71890.57
5045,4065,2016,92840,Garden Grove,"25,095","990,208,877",39458.41
3707,3443,2016,92661,Newport Beach,"1,908","364,315,990",190941.29
4048,3725,2016,90095,Los Angeles,39,"7,276,506",186577.08
4051,3824,2016,92654,Laguna Hills,513,"21,273,273",41468.37
3744,3909,2016,94937,Inverness,528,"43,985,536",83305.94
4053,4290,2016,92014,Del Mar,"7,515","1,433,134,066",190703.14
3743,4512,2016,91503,Burbank,291,"21,966,670",75486.84
5042,3526,2016,95462,Monte Rio,544,"27,110,686",49835.82
5041,3764,2016,95237,Lockeford,"1,683","93,213,479",55385.31
5027,3584,2016,95652,Mcclellan,230,"8,994,237",39105.38
5039,3599,2016,93933,Marina,"11,087","575,206,102",51881.13
3720,4231,2016,95618,El Mocero,"10,923","1,189,397,492",108889.27
5038,4572,2016,96010,Big Bar,51,"1,664,973",32646.53
4052,3742,2016,90803,Long Beach,"18,147","2,037,835,702",112296.01
5047,3695,2016,90041,Los Angeles,"13,111","880,963,012",67192.66
5024,3563,2016,92655,Midway City,"3,906","130,486,296",33406.63
3719,3282,2016,93446,Paso Robles,"19,321","1,124,882,700",58220.73
3748,3310,2016,96073,Palo Cedro,"2,175","175,943,138",80893.4
5054,4025,2016,93926,Gonzales,"4,330","200,127,199",46218.75
3717,4099,2016,93723,Fresno,"4,302","267,719,104",62231.31
5022,3993,2016,95951,Hamilton City,"1,120","45,614,416",40727.16
4028,3450,2016,91322,Newhall,288,"17,467,560",60651.25
4029,3665,2016,90058,Los Angeles,"1,460","206,628,814",141526.58
5023,3822,2016,92677,Laguna Niguel,"31,917","3,696,189,557",115806.3
3716,3967,2016,92546,Hemet,458,"17,305,042",37783.93
5053,4668,2016,91006,Arcadia,"14,893","1,543,960,034",103670.18
3718,3675,2016,90017,Los Angeles,"9,477","579,360,778",61133.35
4049,3487,2016,94042,Mountain View,486,"53,627,951",110345.58
4074,4088,2016,93725,Fresno,"9,284","313,032,745",33717.44
4073,3780,2016,91946,Lemon Grove,278,"12,134,609",43649.67
5052,3732,2016,95650,Loomis,"6,289","757,457,104",120441.58
4072,3841,2016,91944,La Mesa,506,"34,380,233",67945.12
4030,3951,2016,95234,Holt,122,"2,387,781",19571.98
4050,4105,2016,93714,Fresno,47,"6,180,274",131495.19
4031,3888,2016,91935,Jamul,"4,235","380,179,643",89770.87
5051,4155,2016,92610,Foothill Ranch,"5,490","590,609,754",107579.19
3746,3647,2016,90066,Los Angeles,"28,962","2,443,649,841",84374.35
5050,4430,2016,96017,Castella,53,"2,299,472",43386.26
5048,4593,2016,93512,Benton,92,"3,878,678",42159.54
4069,3923,2016,92210,Indian Wells,"1,862","482,135,181",258934.04
5021,3861,2016,95645,Knights Landing,671,"29,875,371",44523.65
4033,3533,2016,93501,Mojave,"1,563","61,190,761",39149.56
5032,3552,2016,95553,Miranda,336,"13,665,907",40672.34
4061,4137,2016,95019,Freedom,"3,829","155,641,711",40648.14
3733,4624,2016,93302,Bakersfield,287,"27,258,710",94978.08
5034,4176,2016,93224,Fellows,149,"7,457,773",50052.17
3732,3823,2016,92607,Laguna Niguel,473,"32,943,217",69647.39
5033,3384,2016,92051,Oceanside,569,"20,788,481",36535.12
3710,4385,2016,Suppressed,City Unmatched,429,"186,450,029",434615.45
3731,3578,2016,95460,Mendocino,"1,474","91,678,401",62197.02
4043,4496,2016,92232,Calexico,"1,171","35,433,104",30258.84
4066,3587,2016,93250,Mc Farland,"5,160","152,062,083",29469.4
3709,4501,2016,94514,Byron,565,"31,144,846",55123.62
4045,3350,2016,95963,Orland,"6,330","279,392,910",44137.9
4060,3883,2016,92252,Joshua Tree,"3,073","120,834,828",39321.45
5029,3497,2016,95039,Moss Landing,789,"39,904,006",50575.42
3711,3300,2016,93648,Parlier,"5,793","170,135,121",29369.09
3729,3559,2016,94030,Millbrae,"11,872","1,428,806,232",120350.93
3708,4259,2016,91010,Duarte,"12,119","656,814,752",54197.11
3728,4644,2016,90704,Avalon,"1,906","94,127,472",49384.82
4065,3355,2016,93646,Orange Cove,"3,471","91,841,102",26459.55
5028,3365,2016,92856,Orange,281,"16,674,558",59340.06
3726,4617,2016,93308,Bakersfield,"18,851","983,968,060",52197.13
3722,4304,2016,94016,Daly City,75,"3,762,465",50166.2
4046,4681,2016,92305,Angelus Oaks,286,"15,182,159",53084.47
3724,3388,2016,94562,Oakville,117,"48,839,213",417429.17
4062,4110,2016,93776,Fresno,45,"-9,244,318",-205429.29
4064,3693,2016,90034,Los Angeles,"31,762","2,121,360,429",66789.26
4042,3291,2016,91106,Pasadena,"12,163","1,456,284,101",119730.67
3712,4649,2016,92811,Atwood,110,"6,885,120",62592.0
3723,3546,2016,92694,Mission Viejo,"11,279","1,894,970,528",168008.74
3714,4040,2016,91222,Glendale,106,"8,990,550",84816.51
4054,3510,2016,92555,Moreno Valley,"17,014","898,971,830",52837.18
4034,4046,2016,91201,Glendale,"10,306","601,279,623",58342.68
4035,3279,2016,92061,Pauma Valley,"1,407","94,021,966",66824.43
4037,4628,2016,93380,Bakersfield,433,"98,970,324",228568.88
5037,4621,2016,93390,Bakersfield,652,"56,115,017",86065.98
4068,4554,2016,92226,Blythe,668,"30,667,841",45909.94
4047,4174,2016,95536,Ferndale,"1,279","74,188,988",58005.46
3721,4143,2016,95540,Fortuna,"5,455","286,572,410",52533.9
3742,3283,2016,93447,Paso Robles,"2,139","135,947,034",63556.35
4056,3455,2016,92365,Newberry Springs,650,"23,995,190",36915.68
3739,4486,2016,96124,Calpine,131,"12,154,521",92782.6
4038,3395,2016,94619,Oakland,"12,393","1,060,647,132",85584.37
3735,3694,2016,90048,Los Angeles,"13,125","1,541,900,101",117478.1
3738,4523,2016,92318,Bryn Mawr,86,"2,964,830",34474.77
5036,3394,2016,94610,Oakland,"18,241","2,104,731,613",115384.66
5035,4059,2016,90249,Gardena,"13,262","611,502,509",46109.37
4039,3423,2016,90652,Norwalk,116,"5,319,848",45860.76
5030,3500,2016,93442,Morro Bay,"5,159","305,314,150",59180.88
4040,4073,2016,92831,Fullerton,"15,714","1,040,510,506",66215.51
4057,3619,2016,95552,Mad River,124,"5,015,777",40449.81
3736,3295,2016,91114,Pasadena,150,"6,564,406",43762.71
4058,4623,2016,93311,Bakersfield,"19,057","1,683,024,706",88315.3
4059,3323,2016,92262,Palm Springs,"11,317","603,436,588",53321.25
4067,4436,2016,93609,Caruthers,"2,127","93,206,115",43820.46
4041,3987,2016,96040,Hat Creek,102,"3,920,449",38435.77
3880,4224,2016,94820,El Sobrante,407,"24,716,780",60729.19
5020,3631,2016,93412,Los Osos,384,"24,516,507",63845.07
4144,4396,2016,91911,Chula Vista,"39,714","1,655,056,611",41674.39
4145,3614,2016,93637,Madera,"15,188","753,881,299",49636.64
4960,3807,2016,92040,Lakeside,"19,627","1,186,970,767",60476.42
4146,3427,2016,91326,Northridge,"17,099","1,696,499,877",99216.32
4147,3851,2016,90633,La Habra,264,"18,843,384",71376.45
4959,4567,2016,95305,Big Oak Flat,159,"6,134,031",38578.81
4148,3399,2016,94621,Oakland,"13,091","468,080,664",35755.91
4149,4127,2016,93755,Fresno,376,"35,142,479",93464.04
4150,3868,2016,93930,King City,"6,815","305,662,872",44851.49
4151,4041,2016,91203,Glendale,"7,222","404,737,509",56042.3
4152,3678,2016,90033,Los Angeles,"17,599","538,187,738",30580.59
4153,4376,2016,95930,Clipper Mills,70,"3,434,634",49066.2
4958,3604,2016,95336,Manteca,"20,517","1,177,801,585",57406.13
4154,3757,2016,92350,Loma Linda,73,"1,539,074",21083.21
4155,4247,2016,93219,Earlimart,"3,539","89,085,391",25172.48
4957,3942,2016,95325,Hornitos,44,"1,258,990",28613.41
4156,4115,2016,93728,Fresno,"6,017","199,919,064",33225.7
4956,4090,2016,93708,Fresno,37,"-256,628",-6935.89
4157,4655,2016,95913,Artois,168,"11,752,442",69955.01
4955,4157,2016,92337,Fontana,"16,590","770,549,528",46446.63
4961,4702,2016,95002,Alviso,"1,109","81,084,529",73114.99
4962,4700,2016,92304,Amboy,10,"498,861",49886.1
4075,4147,2016,95437,Fort Bragg,"6,410","281,652,746",43939.59
4143,3311,2016,94303,Palo Alto,"22,046","6,230,914,535",282632.43
4974,3409,2016,93644,Oakhurst,"3,935","207,148,557",52642.58
4973,4391,2016,95610,Citrus Heights,"20,727","991,595,149",47840.75
4972,4374,2016,93613,Clovis,"1,133","45,071,435",39780.61
4132,4238,2016,92020,El Cajon,"24,961","1,318,162,234",52808.87
4971,3545,2016,92690,Mission Viejo,586,"44,381,981",75737.17
4970,4058,2016,90247,Gardena,"22,743","928,416,051",40822.06
4133,3661,2016,90031,Los Angeles,"16,487","593,707,362",36010.64
4135,3267,2016,94952,Petaluma,"15,785","1,375,082,107",87113.22
4968,4419,2016,92322,Cedarpines Park,232,"10,566,476",45545.16
4967,3472,2016,91616,North Hollywood,34,"1,125,665",33107.79
4137,4683,2016,96007,Anderson,"8,592","367,883,550",42816.99
4966,3974,2016,95448,Healdsburg,"8,739","813,177,947",93051.6
4138,4354,2016,94522,Concord,297,"-54,842,034",-184653.31
4139,3446,2016,92658,Newport Beach,"1,387","1,118,691,407",806554.73
4141,4264,2016,90239,Downey,337,"19,347,528",57411.06
4965,4303,2016,94015,Daly City,"33,238","2,143,420,808",64487.06
4964,3340,2016,93032,Oxnard,405,"17,279,740",42666.02
4963,3794,2016,92285,Landers,610,"18,729,780",30704.56
4142,3646,2016,90013,Los Angeles,"4,627","376,128,033",81289.83
4158,3367,2016,91761,Ontario,"26,579","1,239,966,871",46652.13
4953,3641,2016,90045,Los Angeles,"18,636","1,943,968,663",104312.55
4159,3586,2016,93251,Mc Kittrick,79,"2,971,678",37616.18
4161,3729,2016,93440,Los Alamos,850,"52,925,769",62265.61
4173,3597,2016,90295,Marina Del Rey,628,"45,360,071",72229.41
4939,3768,2016,94550,Livermore,"23,393","2,784,896,306",119048.28
4938,3691,2016,90050,Los Angeles,162,"7,716,565",47633.12
4174,4550,2016,93205,Bodfish,621,"20,406,721",32861.06
4175,4191,2016,95501,Eureka,"8,750","350,483,078",40055.21
4176,3335,2016,94044,Pacifica,"20,143","1,920,585,181",95347.52
4177,3812,2016,93532,LakeHughes,"1,142","68,301,243",59808.44
4937,3504,2016,92552,Moreno Valley,"1,065","51,400,886",48263.74
4178,4011,2016,95947,Greenville,684,"28,538,472",41722.91
4936,3493,2016,96067,Mount Shasta,"3,460","171,299,264",49508.46
4179,4440,2016,93014,Carpinteria,553,"43,467,317",78602.74
4935,3636,2016,95030,Los Gatos,"6,604","2,990,167,235",452781.23
4180,3451,2016,91321,Newhall,"15,497","917,735,692",59220.22
4181,4719,2016,95511,Alderpoint,81,"3,957,184",48854.12
4182,3795,2016,93536,Lancaster,"27,332","1,741,674,865",63722.92
4934,4172,2016,95537,Fields Landing,125,"4,991,402",39931.22
4933,3316,2016,94306,Palo Alto,"13,839","3,193,247,018",230742.61
4183,3927,2016,92251,Imperial,"7,918","474,697,596",59951.7
4184,4159,2016,92335,Fontana,"39,483","1,316,927,834",33354.3
4172,3483,2016,95246,Mountain Ranch,641,"33,930,960",52934.41
4171,3382,2016,92049,Oceanside,242,"11,061,584",45709.02
4940,3465,2016,94558,Napa,"32,004","2,681,821,172",83796.44
4947,4335,2016,92118,Coronado,"7,239","795,696,199",109917.97
4162,3514,2016,93021,Moorpark,"17,713","1,568,801,456",88567.8
4952,3530,2016,91016,Monrovia,"19,376","1,309,614,578",67589.52
4951,4021,2016,91344,Granada Hills,"25,035","1,752,034,799",69983.42
4164,4142,2016,92708,Fountain Valley,"27,781","2,011,659,289",72411.33
4165,4587,2016,94720,Berkeley,242,"7,078,766",29251.1
4949,4470,2016,91304,Canoga Park,"23,208","1,312,408,199",56549.82
4948,3736,2016,90813,Long Beach,"21,232","634,858,870",29901.04
4166,4418,2016,96104,Cedarville,344,"12,351,254",35904.81
4167,4286,2016,95315,Delhi,"4,827","156,575,029",32437.34
4941,3925,2016,91933,ImperialBeach,380,"13,292,417",34980.04
4946,4451,2016,92011,Carlsbad,"11,166","1,279,188,737",114561.05
4168,4340,2016,92879,Corona,"20,255","1,343,967,506",66352.38
4945,4566,2016,93513,Big Pine,730,"36,141,978",49509.56
4169,3746,2016,90806,Long Beach,"18,285","728,000,545",39814.09
4944,4187,2016,95628,Fair Oaks,"20,495","1,630,286,266",79545.56
4170,4619,2016,93389,Bakersfield,884,"59,091,840",66845.97
4943,4698,2016,92825,Anaheim,117,"8,147,386",69635.78
4942,4552,2016,94922,Bodega,216,"13,853,432",64136.26
4975,3558,2016,96062,Millville,471,"29,694,368",63045.37
4131,3983,2016,90251,Hawthorne,618,"32,352,553",52350.41
4130,4485,2016,93011,Camarillo,"1,073","71,596,951",66725.96
4993,4093,2016,93729,Fresno,899,"81,638,351",90810.18
5007,3448,2016,92660,Newport Beach,"18,126","4,104,240,319",226428.35
5006,4112,2016,93730,Fresno,"5,261","737,733,879",140226.93
5005,3663,2016,90020,Los Angeles,"18,228","1,175,131,292",64468.47
4088,4539,2016,95416,Boyes Hot Springs,"1,254","50,342,446",40145.49
5004,4638,2016,92309,Baker,258,"8,235,470",31920.43
