,ID,Year,Zip Code,City,Returns,CA AGI,Avg Income
0,177,2017,93276,Tupman,54,"1,853,226",34319
1768,137,2017,91407,Van Nuys,34,"1,290,491",37955.62
1770,1315,2017,90045,Los Angeles,"18,766","2,074,763,206",110559.69
1771,342,2017,91403,Sherman Oaks,"14,265","1,989,124,375",139440.9
1772,1496,2017,95646,Kirkwood,52,"2,911,176",55984.15
1773,507,2017,95130,San Jose,"6,350","810,542,816",127644.54
1774,269,2017,91604,Studio City,"16,512","2,317,129,119",140330.01
1775,359,2017,93955,Seaside,"14,157","669,916,532",47320.52
1776,80,2017,91793,West Covina,503,"27,924,517",55515.94
1777,808,2017,96002,Redding,"13,594","700,583,145",51536.2
1778,196,2017,95377,Tracy,"14,179","1,067,907,210",75316.12
1779,438,2017,92706,Santa Ana,"16,118","871,105,439",54045.5
1780,1336,2017,90067,Los Angeles,"3,860","2,912,553,966",754547.66
1781,1562,2017,96046,Hyampom,69,"2,042,173",29596.71
1782,1173,2017,95355,Modesto,"25,506","1,590,315,836",62350.66
1783,898,2017,94954,Petaluma,"18,711","1,451,334,622",77565.85
1784,475,2017,93407,San Luis Obispo,16,"312,192",19512
1785,1411,2017,91945,Lemon Grove,"12,420","572,782,338",46117.74
1786,768,2017,93656,Riverdale,"2,374","91,558,198",38567.06
1769,1364,2017,95650,Loomis,"6,388","969,714,726",151802.56
1767,802,2017,90277,Redondo Beach,"19,219","2,448,394,252",127394.47
1788,665,2017,92407,San Bernardino,"25,846","1,199,068,064",46392.79
1766,919,2017,91103,Pasadena,"11,918","1,050,027,393",88104.33
1749,274,2017,95979,Stonyford,157,"7,098,200",45211.46
1750,866,2017,90296,Playa Del Rey,72,"5,605,662",77856.42
1751,1481,2017,90631,La Habra,"32,369","2,107,661,316",65113.58
1752,374,2017,95402,Santa Rosa,"1,856","174,420,480",93976.55
1753,604,2017,92116,San Diego,"18,531","1,285,581,660",69374.65
1754,736,2017,92382,Running Springs,"2,382","132,061,802",55441.56
1755,565,2017,94125,San Francisco,26,"1,853,332",71282
1756,306,2017,91979,Spring Valley,461,"26,964,946",58492.29
1757,1437,2017,92040,Lakeside,"19,934","1,218,610,923",61132.28
1758,211,2017,94971,Tomales,220,"12,803,658",58198.45
1759,327,2017,95977,Smartville,639,"36,051,586",56418.76
1760,108,2017,93278,Visalia,411,"21,860,460",53188.47
1761,240,2017,96142,Tahoma,394,"23,702,679",60159.08
1762,243,2017,93268,Taft,"5,590","260,068,652",46523.91
1763,5,2017,92399,Yucaipa,"23,343","1,495,641,332",64072.37
1764,295,2017,95374,Stevinson,713,"25,194,170",35335.44
1765,127,2017,93004,Ventura,"14,314","989,338,143",69116.82
1787,1057,2017,91325,Northridge,"16,192","1,086,622,982",67108.63
1789,1034,2017,94614,Oakland,186,"11,899,664",63976.69
1664,120,2017,92394,Victorville,"12,586","501,927,884",39879.86
1810,929,2017,91124,Pasadena,10,"16,525,060",1652506
1812,1094,2017,92363,Needles,"1,594","57,903,733",36326.06
1813,396,2017,93457,Santa Maria,354,"31,039,820",87683.11
1814,625,2017,92140,San Diego,63,"1,143,208",18146.16
1815,840,2017,92064,Poway,"22,346","2,414,048,029",108030.43
1816,729,2017,94083,South San Francisco,386,"35,600,292",92228.74
1817,741,2017,94957,Ross,"1,071","885,943,411",827211.4
1818,1237,2017,95337,Manteca,"16,940","1,103,127,101",65119.66
1819,988,2017,93646,Orange Cove,"3,622","123,170,728",34006.27
1820,1353,2017,90089,Los Angeles,180,"9,549,395",53052.19
1821,465,2017,91108,San Marino,"6,406","2,026,615,419",316362.07
1822,333,2017,93094,Simi Valley,395,"28,233,472",71477.14
1823,1130,2017,95039,Moss Landing,722,"40,971,419",56747.12
1824,1262,2017,93402,Los Osos,"6,747","434,031,867",64329.61
1825,1269,2017,95033,Los Gatos,"4,196","976,345,431",232684.8
1826,576,2017,94141,San Francisco,363,"23,586,701",64977.14
1827,1153,2017,91755,Monterey Park,"15,063","636,889,907",42281.74
1828,428,2017,93130,Santa Barbara,669,"66,500,141",99402.3
1811,416,2017,93101,Santa Barbara,"15,298","1,131,881,315",73988.84
1809,887,2017,94620,Piedmont,242,"16,086,210",66471.94
1790,1289,2017,90019,Los Angeles,"29,746","1,589,096,118",53422.18
1808,284,2017,95210,Stockton,"15,207","538,018,743",35379.68
1791,401,2017,95061,Santa Cruz,831,"50,772,549",61098.13
1792,1198,2017,95345,Midpines,347,"14,723,555",42430.99
1793,829,2017,92065,Ramona,"16,854","1,237,078,116",73399.67
